Award,Category,Year,Nominee,Won,Tony
DramaDesk,Revival,2001,Follies ˆ,0,
DramaDesk,Revival,2001,The Rocky Horror Show ˆ,0,
DramaDesk,Revival,2002,Into the Woods Ê,1,1
DramaDesk,Revival,2002,Oklahoma! ˆ,0,
DramaDesk,Revival,2003,Nine Ê,1,1
DramaDesk,Revival,2003,Gypsy ˆ,0,
DramaDesk,Revival,2003,La bohème ˆ,0,
DramaDesk,Revival,2003,Man of La Mancha ˆ,0,
DramaDesk,Revival,2004,Assassins Ê,1,1
DramaDesk,Revival,2004,Big River ˆ,0,
DramaDesk,Revival,2004,Fiddler on the Roof ˆ,0,
DramaDesk,Revival,2004,Finian's Rainbow,0,
DramaDesk,Revival,2004,First Lady Suite,0,
DramaDesk,Revival,2004,Wonderful Town ˆ,0,
DramaDesk,Revival,2005,La Cage aux Folles Ê,1,1
DramaDesk,Revival,2005,Ain't Supposed to Die a Natural Death,0,
DramaDesk,Revival,2005,On Second Avenue,0,
DramaDesk,Revival,2005,Sweet Charity ˆ,0,
DramaDesk,Revival,2006,Sweeney Todd ˆ,1,0
DramaDesk,Revival,2006,Jacques Brel is Alive and Well and  Living in Paris,0,
DramaDesk,Revival,2006,The Pajama Game Ê,0,
DramaDesk,Revival,2007,Company Ê,1,1
DramaDesk,Revival,2007,110 in the Shade ˆ,0,
DramaDesk,Revival,2007,The Apple Tree ˆ,0,
DramaDesk,Revival,2007,Di Yam Gazlonim!,0,
DramaDesk,Revival,2007,H.M.S. Pinafore,0,
DramaDesk,Revival,2007,Les Mis_rables,0,
DramaDesk,Revival,2008,South Pacific Ê,1,1
DramaDesk,Revival,2008,Black Nativity,0,
DramaDesk,Revival,2008,Gypsy ˆ,0,
DramaDesk,Revival,2008,Sunday in the Park with George ˆ,0,
DramaDesk,Revival,2008,Take Me Along,0,
DramaDesk,Revival,2009,Hair Ê,1,1
DramaDesk,Revival,2009,Pal Joey ˆ,0,
DramaDesk,Revival,2009,West Side Story ˆ,0,
DramaDesk,Revival,2010,La Cage aux Folles Ê,1,1
DramaDesk,Revival,2010,A Little Night Music ˆ,0,
DramaDesk,Revival,2010,Finian's Rainbow ˆ,0,
DramaDesk,Revival,2010,"Promises, Promises",0,
DramaDesk,Revival,2010,Ragtime ˆ,0,
DramaDesk,Revival,2011,Anything Goes Ê,1,1
DramaDesk,Revival,2011,Hello Again,0,
DramaDesk,Revival,2011,How to Succeed in Business Without  Really Trying ˆ,0,
DramaDesk,Revival,2012,Follies ˆ,1,0
DramaDesk,Revival,2012,Carrie,0,
DramaDesk,Revival,2012,Evita ˆ,0,
DramaDesk,Revival,2012,Jesus Christ Superstar ˆ,0,
DramaDesk,Revival,2012,Porgy and Bess Ê,0,
DramaDesk,Revival,2012,The Threepenny Opera,0,
DramaDesk,Revival,2013,Pippin Ê,1,1
DramaDesk,Revival,2013,The Golden Land,0,
DramaDesk,Revival,2013,The Mystery of Edwin Drood ˆ,0,
DramaDesk,Revival,2013,Passion,0,
DramaDesk,Revival,2013,Rodgers & Hammerstein's Cinderella ˆ,0,
DramaDesk,Revival,2013,Working,0,
DramaDesk,Revival,2014,Hedwig and the Angry Inch Ê,1,1
DramaDesk,Revival,2014,Les Mis_rables ˆ,0,
DramaDesk,Revival,2014,Violet ˆ,0,
DramaDesk,Revival,2015,The King and I Ê,1,1
DramaDesk,Revival,2015,Into the Woods,0,
DramaDesk,Revival,2015,On the Town ˆ,0,
DramaDesk,Revival,2015,On the Twentieth Century ˆ,0,
DramaDesk,Revival,2015,Pageant,0,
DramaDesk,Revival,2015,Side Show,0,
DramaDesk,Revival,2016,She Loves Me ˆ,1,0
DramaDesk,Revival,2016,The Color Purple Ê,0,
DramaDesk,Revival,2016,The Golden Bride,0,
DramaDesk,Revival,2016,Fiddler on the Roof ˆ,0,
DramaDesk,Revival,2016,Spring Awakening ˆ,0,
DramaDesk,Revival,2017,"Hello, Dolly! Ê",1,1
DramaDesk,Revival,2017,Falsettos ˆ,0,
DramaDesk,Revival,2017,Sweeney Todd: The Demon Barber of Fleet Street,0,
DramaDesk,Revival,2017,Sweet Charity,0,
DramaDesk,Revival,2017,"Tick, Tick... Boom!",0,
DramaDesk,Revival,2018,My Fair Lady ˆ,1,0
DramaDesk,Revival,2018,Amerike - The Golden Land,0,
DramaDesk,Revival,2018,Carousel ˆ,0,
DramaDesk,Revival,2018,Once On This Island Ê,0,
DramaDesk,Revival,2018,Pacific Overtures,0,
DramaDesk,Director,2000,Michael Blakemore,1,1
DramaDesk,Director,2000,Gabriel Barre,0,
DramaDesk,Director,2000,Susan Stroman,0,
DramaDesk,Director,2000,Susan Stroman,0,
DramaDesk,Director,2001,Susan Stroman,1,1
DramaDesk,Director,2001,Christopher Ashley,0,
DramaDesk,Director,2001,Wilfredo Medina,0,
DramaDesk,Director,2001,Jack O'Brien,0,
DramaDesk,Director,2001,John Rando,0,
